item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM00043,TXN00014,PROD0286,3,1423.75,10,3844.12
ITEM00044,TXN00014,PROD0323,1,1645.98,0,1645.98
ITEM00045,TXN00014,PROD0045,2,1096.28,5,2082.93
ITEM00046,TXN00014,PROD0137,3,7628.4,0,22885.2
ITEM00047,TXN00014,PROD0311,3,1927.78,0,5783.34
ITEM00048,TXN00015,PROD0167,2,3412.95,5,6484.6
ITEM00049,TXN00015,PROD0141,3,2955.42,10,7979.63
ITEM00050,TXN00015,PROD0105,2,3689.06,15,6271.4
ITEM00051,TXN00016,PROD0182,3,1781.68,15,4543.28
ITEM00052,TXN00016,PROD0097,2,346.39,10,623.5
ITEM00053,TXN00016,PROD0109,1,536.53,10,482.88
ITEM00054,TXN00016,PROD0132,3,7345.13,10,19831.85
ITEM00055,TXN00016,PROD0112,1,1057.41,10,951.67
ITEM00056,TXN00017,PROD0127,3,3936.8,10,10629.36
ITEM00057,TXN00017,PROD0394,3,19857.17,5,56592.93
ITEM00058,TXN00017,PROD0258,3,9620.74,0,28862.22
ITEM00059,TXN00017,PROD0252,3,1053.44,5,3002.3
ITEM00060,TXN00017,PROD0440,2,1175.8,10,2116.44
ITEM00061,TXN00018,PROD0128,3,1731.19,15,4414.53
ITEM00062,TXN00018,PROD0203,3,4697.32,10,12682.76
ITEM00063,TXN00018,PROD0232,3,530.53,10,1432.43
ITEM00064,TXN00018,PROD0076,3,662.06,5,1886.87
ITEM00065,TXN00019,PROD0294,3,2835.38,0,8506.14
ITEM00066,TXN00020,PROD0030,3,3244.32,5,9246.31
ITEM00067,TXN00021,PROD0493,3,6333.01,0,18999.03
ITEM00068,TXN00021,PROD0075,3,3808.03,0,11424.09
ITEM00069,TXN00021,PROD0108,2,2866.04,0,5732.08
ITEM00070,TXN00022,PROD0221,2,4872.4,0,9744.8
ITEM00071,TXN00022,PROD0361,1,846.32,0,846.32
ITEM00072,TXN00022,PROD0438,2,626.1,10,1126.98
ITEM00073,TXN00022,PROD0192,1,5246.52,10,4721.87
ITEM00074,TXN00023,PROD0111,2,590.12,0,1180.24
ITEM00075,TXN00023,PROD0162,2,1986.89,15,3377.71
ITEM00076,TXN00023,PROD0289,3,2488.83,0,7466.49
ITEM00077,TXN00023,PROD0278,1,724.71,0,724.71
ITEM00078,TXN00023,PROD0208,1,1172.94,10,1055.65
ITEM00079,TXN00024,PROD0477,1,887.63,15,754.49
ITEM00080,TXN00024,PROD0288,2,1824.87,10,3284.77
ITEM00081,TXN00024,PROD0320,3,8756.99,5,24957.42
ITEM00082,TXN00024,PROD0039,1,1604.23,10,1443.81
ITEM00083,TXN00025,PROD0271,3,9061.8,0,27185.4
ITEM00084,TXN00025,PROD0425,3,2118.11,15,5401.18
ITEM00085,TXN00025,PROD0480,1,2281.46,10,2053.31
ITEM00086,TXN00025,PROD0356,1,3779.58,10,3401.62
ITEM00087,TXN00026,PROD0081,2,2330.55,5,4428.05
ITEM00088,TXN00026,PROD0049,1,1214.47,5,1153.75
ITEM00089,TXN00026,PROD0367,3,1589.13,5,4529.02
ITEM00090,TXN00027,PROD0152,3,37940.48,15,96748.22
ITEM00091,TXN00028,PROD0015,3,551.63,0,1654.89
ITEM00092,TXN00028,PROD0123,3,4594.56,15,11716.13
ITEM00093,TXN00028,PROD0130,1,3667.62,15,3117.48
ITEM00094,TXN00029,PROD0041,3,19648.14,5,55997.2
ITEM00095,TXN00029,PROD0164,2,9610.23,0,19220.46
ITEM00096,TXN00029,PROD0203,3,4697.32,15,11978.17
ITEM00097,TXN00029,PROD0415,1,21195.69,10,19076.12
ITEM00098,TXN00029,PROD0485,1,9899.66,15,8414.71
ITEM00099,TXN00030,PROD0307,2,673.54,10,1212.37
ITEM00100,TXN00031,PROD0267,3,2944.28,5,8391.2
ITEM00101,TXN00031,PROD0178,2,437.14,15,743.14
ITEM00102,TXN00031,PROD0091,1,2540.24,5,2413.23
ITEM00103,TXN00031,PROD0216,2,965.06,10,1737.11
ITEM00104,TXN00031,PROD0081,2,2330.55,5,4428.05
ITEM00105,TXN00032,PROD0052,1,5087.06,10,4578.35
ITEM00106,TXN00032,PROD0070,3,1932.06,15,4926.75
ITEM00107,TXN00032,PROD0030,2,3244.32,15,5515.34
ITEM00108,TXN00033,PROD0423,2,15003.56,15,25506.05
ITEM00109,TXN00034,PROD0341,3,1813.96,10,4897.69
ITEM00110,TXN00034,PROD0500,3,1262.91,15,3220.42
ITEM00111,TXN00034,PROD0371,1,3889.47,5,3695.0
ITEM00112,TXN00034,PROD0044,2,7576.98,0,15153.96
ITEM00113,TXN00034,PROD0455,2,7985.33,5,15172.13
ITEM00114,TXN00035,PROD0174,2,5265.98,5,10005.36
ITEM00115,TXN00035,PROD0180,3,1408.7,15,3592.19
ITEM00116,TXN00036,PROD0366,1,5175.36,15,4399.06
ITEM00117,TXN00036,PROD0491,3,46035.46,0,138106.38
ITEM00118,TXN00037,PROD0110,3,1933.35,5,5510.05
ITEM00119,TXN00038,PROD0072,3,3867.34,0,11602.02
ITEM00120,TXN00038,PROD0286,3,1423.75,5,4057.69
ITEM00121,TXN00038,PROD0388,3,3102.23,5,8841.36
ITEM00122,TXN00038,PROD0106,2,5257.6,5,9989.44
ITEM00123,TXN00039,PROD0433,3,1470.84,10,3971.27
ITEM00124,TXN00039,PROD0276,3,939.25,15,2395.09
ITEM00125,TXN00039,PROD0216,2,965.06,0,1930.12
ITEM00126,TXN00040,PROD0092,1,6998.6,5,6648.67
ITEM00127,TXN00040,PROD0108,1,2866.04,5,2722.74
ITEM00128,TXN00040,PROD0263,3,825.42,15,2104.82
ITEM00129,TXN00040,PROD0500,2,1262.91,0,2525.82
ITEM00130,TXN00041,PROD0186,2,3646.06,0,7292.12
ITEM00131,TXN00041,PROD0009,1,36415.16,15,30952.89
ITEM00132,TXN00042,PROD0067,3,4204.89,5,11983.94
ITEM00133,TXN00042,PROD0181,1,1327.86,10,1195.07
ITEM00134,TXN00042,PROD0304,2,291.29,15,495.19
ITEM00135,TXN00042,PROD0085,1,917.34,15,779.74
ITEM00136,TXN00043,PROD0327,1,3482.29,10,3134.06
ITEM00137,TXN00043,PROD0267,2,2944.28,5,5594.13
ITEM00138,TXN00044,PROD0024,2,48333.25,5,91833.18
ITEM00139,TXN00044,PROD0109,1,536.53,5,509.7
ITEM00140,TXN00044,PROD0464,1,1124.88,10,1012.39
ITEM00141,TXN00044,PROD0465,3,6937.72,0,20813.16
ITEM00142,TXN00045,PROD0199,3,32789.43,5,93449.88
ITEM00143,TXN00045,PROD0232,2,530.53,5,1008.01
ITEM00144,TXN00045,PROD0018,2,1137.06,0,2274.12
ITEM00145,TXN00045,PROD0203,2,4697.32,5,8924.91
ITEM00146,TXN00046,PROD0486,1,26492.75,10,23843.48
ITEM00147,TXN00046,PROD0209,2,45143.97,15,76744.75
ITEM00148,TXN00046,PROD0117,3,41251.35,0,123754.05
ITEM00149,TXN00046,PROD0089,3,283.2,0,849.6
ITEM00150,TXN00046,PROD0141,2,2955.42,15,5024.21
ITEM00151,TXN00047,PROD0500,2,1262.91,10,2273.24
ITEM00152,TXN00047,PROD0237,3,1196.15,0,3588.45
ITEM00153,TXN00047,PROD0228,1,3113.16,5,2957.5
ITEM00154,TXN00048,PROD0469,1,6596.78,5,6266.94
ITEM00155,TXN00048,PROD0218,2,4544.19,0,9088.38
ITEM00156,TXN00048,PROD0328,2,379.57,0,759.14
ITEM00157,TXN00048,PROD0287,2,7656.4,0,15312.8
ITEM00158,TXN00048,PROD0486,3,26492.75,5,75504.34
ITEM00159,TXN00049,PROD0202,1,2345.95,0,2345.95
ITEM00160,TXN00050,PROD0176,3,1259.12,15,3210.76
ITEM00161,TXN00050,PROD0392,1,3758.43,10,3382.59
ITEM00162,TXN00050,PROD0082,1,13468.09,0,13468.09
ITEM00163,TXN00050,PROD0180,3,1408.7,0,4226.1
ITEM00164,TXN00051,PROD0146,2,2791.92,0,5583.84
ITEM00165,TXN00052,PROD0139,3,2092.77,15,5336.56
ITEM00166,TXN00052,PROD0350,2,1648.29,5,3131.75
ITEM00167,TXN00053,PROD0167,3,3412.95,10,9214.96
ITEM00168,TXN00053,PROD0387,3,4724.68,0,14174.04
ITEM00169,TXN00054,PROD0344,1,5508.75,5,5233.31
ITEM00170,TXN00054,PROD0292,2,5315.34,5,10099.15
ITEM00171,TXN00054,PROD0077,3,1155.54,10,3119.96
ITEM00172,TXN00054,PROD0160,2,4233.78,10,7620.8
ITEM00173,TXN00055,PROD0050,3,1409.31,15,3593.74
ITEM00174,TXN00055,PROD0143,3,4275.64,15,10902.88
ITEM00175,TXN00055,PROD0027,3,803.15,5,2288.98
ITEM00176,TXN00055,PROD0376,1,1033.79,15,878.72
ITEM00177,TXN00055,PROD0162,1,1986.89,0,1986.89
ITEM00178,TXN00056,PROD0236,1,1559.0,15,1325.15
ITEM00179,TXN00056,PROD0169,1,6943.85,5,6596.66
ITEM00180,TXN00057,PROD0462,3,7459.07,10,20139.49
ITEM00181,TXN00058,PROD0077,1,1155.54,15,982.21
ITEM00182,TXN00059,PROD0261,1,1198.64,0,1198.64
ITEM00183,TXN00059,PROD0288,2,1824.87,15,3102.28
ITEM00184,TXN00059,PROD0459,3,1492.26,10,4029.1
ITEM00185,TXN00060,PROD0447,1,5938.17,5,5641.26
ITEM00186,TXN00060,PROD0334,3,5720.34,0,17161.02
ITEM00187,TXN00061,PROD0307,2,673.54,5,1279.73
ITEM00188,TXN00061,PROD0049,1,1214.47,5,1153.75
ITEM00189,TXN00061,PROD0405,2,321.72,15,546.92
ITEM00190,TXN00061,PROD0124,1,3008.34,15,2557.09
ITEM00191,TXN00062,PROD0318,3,6370.4,0,19111.2
ITEM00192,TXN00062,PROD0206,1,1524.15,0,1524.15
ITEM00193,TXN00062,PROD0259,3,6411.89,0,19235.67
ITEM00194,TXN00063,PROD0193,2,1531.45,0,3062.9
ITEM00195,TXN00063,PROD0139,3,2092.77,10,5650.48
ITEM00196,TXN00063,PROD0270,2,6094.24,5,11579.06
ITEM00197,TXN00064,PROD0023,3,2868.61,5,8175.54
ITEM00198,TXN00065,PROD0030,1,3244.32,10,2919.89
ITEM00199,TXN00065,PROD0326,1,502.38,0,502.38
ITEM00200,TXN00065,PROD0100,1,5371.84,0,5371.84
ITEM00201,TXN00065,PROD0465,1,6937.72,0,6937.72
ITEM00202,TXN00065,PROD0114,3,4049.4,15,10325.97
ITEM00203,TXN00066,PROD0017,2,549.04,10,988.27
ITEM00204,TXN00066,PROD0386,2,49807.89,0,99615.78
ITEM00205,TXN00066,PROD0258,1,9620.74,0,9620.74
ITEM00206,TXN00067,PROD0081,2,2330.55,5,4428.05
ITEM00207,TXN00067,PROD0404,3,25494.14,5,72658.3
ITEM00208,TXN00067,PROD0077,2,1155.54,10,2079.97
ITEM00209,TXN00068,PROD0070,1,1932.06,5,1835.46
ITEM00210,TXN00068,PROD0175,1,9109.64,15,7743.19
ITEM00211,TXN00068,PROD0188,3,49942.77,5,142336.89
ITEM00212,TXN00069,PROD0076,3,662.06,15,1688.25
ITEM00213,TXN00069,PROD0468,3,30527.44,10,82424.09
ITEM00214,TXN00069,PROD0424,2,2964.16,5,5631.9
ITEM00215,TXN00069,PROD0025,2,1111.08,15,1888.84
ITEM00216,TXN00069,PROD0310,3,1143.25,15,2915.29
ITEM00217,TXN00070,PROD0456,2,434.34,10,781.81
ITEM00218,TXN00070,PROD0405,3,321.72,15,820.39
ITEM00219,TXN00070,PROD0069,2,1838.01,10,3308.42
ITEM00220,TXN00071,PROD0094,1,18120.2,0,18120.2
ITEM00221,TXN00071,PROD0450,3,6698.44,0,20095.32
ITEM00222,TXN00071,PROD0147,1,1156.56,0,1156.56
ITEM00223,TXN00072,PROD0309,3,4662.26,0,13986.78
ITEM00224,TXN00072,PROD0476,3,4274.37,15,10899.64
ITEM00225,TXN00072,PROD0008,1,950.38,15,807.82
ITEM00226,TXN00073,PROD0219,1,9081.57,5,8627.49
ITEM00227,TXN00073,PROD0234,3,4234.65,0,12703.95
ITEM00228,TXN00074,PROD0060,2,1514.33,5,2877.23
ITEM00229,TXN00075,PROD0419,1,6399.1,5,6079.15
ITEM00230,TXN00076,PROD0007,2,6403.77,5,12167.16
ITEM00231,TXN00076,PROD0283,2,538.14,5,1022.47
ITEM00232,TXN00076,PROD0219,1,9081.57,0,9081.57
ITEM00233,TXN00076,PROD0473,3,3980.95,10,10748.56
ITEM00234,TXN00076,PROD0112,1,1057.41,15,898.8
ITEM00235,TXN00077,PROD0361,1,846.32,15,719.37
ITEM00236,TXN00077,PROD0352,2,5891.97,0,11783.94
ITEM00237,TXN00077,PROD0272,3,4661.17,10,12585.16
ITEM00238,TXN00078,PROD0137,1,7628.4,10,6865.56
ITEM00239,TXN00078,PROD0212,2,1681.39,5,3194.64
ITEM00240,TXN00078,PROD0300,1,6279.6,15,5337.66
ITEM00241,TXN00078,PROD0402,1,1099.77,10,989.79
ITEM00242,TXN00078,PROD0131,2,1635.83,5,3108.08
ITEM00243,TXN00079,PROD0019,3,1536.96,10,4149.79
ITEM00244,TXN00079,PROD0428,1,2838.44,15,2412.67
ITEM00245,TXN00079,PROD0188,3,49942.77,10,134845.48
ITEM00246,TXN00080,PROD0445,3,48149.82,5,137226.99
ITEM00247,TXN00081,PROD0379,1,3678.36,0,3678.36
ITEM00248,TXN00081,PROD0029,1,1908.21,0,1908.21
ITEM00249,TXN00081,PROD0450,1,6698.44,15,5693.67
ITEM00250,TXN00081,PROD0271,3,9061.8,15,23107.59
ITEM00251,TXN00082,PROD0058,1,5400.4,15,4590.34
ITEM00252,TXN00082,PROD0103,2,1378.24,5,2618.66
ITEM00253,TXN00082,PROD0063,1,860.89,5,817.85
ITEM00254,TXN00082,PROD0003,2,1728.17,10,3110.71
ITEM00255,TXN00083,PROD0124,3,3008.34,0,9025.02
ITEM00256,TXN00084,PROD0241,2,2950.25,10,5310.45
ITEM00257,TXN00084,PROD0211,1,3728.3,5,3541.89
ITEM00258,TXN00084,PROD0145,1,650.06,5,617.56
ITEM00259,TXN00084,PROD0306,2,4821.76,15,8196.99
ITEM00260,TXN00085,PROD0491,3,46035.46,10,124295.74
ITEM00261,TXN00085,PROD0202,1,2345.95,5,2228.65
ITEM00262,TXN00085,PROD0024,3,48333.25,0,144999.75
ITEM00263,TXN00085,PROD0471,3,3468.09,0,10404.27
ITEM00264,TXN00086,PROD0466,2,1547.89,15,2631.41
ITEM00265,TXN00086,PROD0270,2,6094.24,0,12188.48
ITEM00266,TXN00086,PROD0277,1,1272.22,10,1145.0
ITEM00267,TXN00087,PROD0319,1,2606.24,15,2215.3
ITEM00268,TXN00088,PROD0260,2,7502.91,5,14255.53
ITEM00269,TXN00088,PROD0112,2,1057.41,10,1903.34
ITEM00270,TXN00088,PROD0117,2,41251.35,0,82502.7
ITEM00271,TXN00089,PROD0009,1,36415.16,5,34594.4
ITEM00272,TXN00089,PROD0304,2,291.29,10,524.32
ITEM00273,TXN00089,PROD0357,3,1588.22,0,4764.66
ITEM00274,TXN00089,PROD0163,3,2931.16,0,8793.48
ITEM00275,TXN00090,PROD0135,3,14261.97,0,42785.91
ITEM00276,TXN00090,PROD0321,2,41943.17,15,71303.39
ITEM00277,TXN00091,PROD0023,2,2868.61,10,5163.5
ITEM00278,TXN00091,PROD0298,3,3001.63,15,7654.16
ITEM00279,TXN00091,PROD0158,3,1062.11,15,2708.38
ITEM00280,TXN00091,PROD0019,2,1536.96,10,2766.53
ITEM00281,TXN00091,PROD0067,1,4204.89,15,3574.16
ITEM00282,TXN00092,PROD0499,1,2914.65,10,2623.18
ITEM00283,TXN00092,PROD0183,1,1814.45,5,1723.73
ITEM00284,TXN00092,PROD0398,2,1494.01,5,2838.62
ITEM00285,TXN00093,PROD0310,1,1143.25,0,1143.25
ITEM00286,TXN00093,PROD0469,2,6596.78,0,13193.56
ITEM00287,TXN00093,PROD0153,2,1084.8,0,2169.6
ITEM00288,TXN00093,PROD0146,2,2791.92,0,5583.84
ITEM00289,TXN00093,PROD0191,3,983.27,15,2507.34
ITEM00290,TXN00094,PROD0263,2,825.42,0,1650.84
ITEM00291,TXN00094,PROD0463,3,4231.42,5,12059.55
ITEM00292,TXN00094,PROD0001,3,3591.04,15,9157.15
ITEM00293,TXN00094,PROD0103,1,1378.24,5,1309.33
ITEM00294,TXN00095,PROD0286,2,1423.75,5,2705.12
ITEM00295,TXN00096,PROD0159,2,4795.57,5,9111.58
ITEM00296,TXN00096,PROD0241,1,2950.25,10,2655.22
ITEM00297,TXN00096,PROD0030,2,3244.32,15,5515.34
ITEM00298,TXN00097,PROD0104,1,4137.86,5,3930.97
ITEM00299,TXN00097,PROD0326,2,502.38,10,904.28
ITEM00300,TXN00097,PROD0240,2,9955.45,0,19910.9
ITEM00301,TXN00098,PROD0147,2,1156.56,15,1966.15
ITEM00302,TXN00099,PROD0479,3,7565.4,15,19291.77
ITEM00303,TXN00100,PROD0357,1,1588.22,10,1429.4
ITEM00304,TXN00100,PROD0232,2,530.53,5,1008.01
ITEM00305,TXN00100,PROD0080,1,4763.99,5,4525.79
ITEM00306,TXN00100,PROD0094,2,18120.2,5,34428.38
ITEM00307,TXN00101,PROD0025,1,1111.08,5,1055.53
ITEM00308,TXN00101,PROD0500,1,1262.91,15,1073.47
ITEM00309,TXN00101,PROD0445,1,48149.82,0,48149.82
ITEM00310,TXN00101,PROD0326,2,502.38,5,954.52
ITEM00311,TXN00102,PROD0118,2,565.15,5,1073.78
ITEM00312,TXN00102,PROD0372,2,5139.71,10,9251.48
ITEM00313,TXN00102,PROD0416,2,3420.19,10,6156.34
ITEM00314,TXN00102,PROD0369,1,2423.8,0,2423.8
ITEM00315,TXN00102,PROD0422,1,4462.16,5,4239.05
ITEM00316,TXN00103,PROD0330,2,5001.68,10,9003.02
ITEM00317,TXN00103,PROD0180,3,1408.7,15,3592.19
ITEM00318,TXN00103,PROD0279,3,489.65,0,1468.95
ITEM00319,TXN00103,PROD0425,2,2118.11,10,3812.6
ITEM00320,TXN00104,PROD0413,2,32635.39,10,58743.7
ITEM00321,TXN00104,PROD0163,2,2931.16,10,5276.09
ITEM00322,TXN00104,PROD0099,2,28078.52,0,56157.04
ITEM00323,TXN00104,PROD0234,1,4234.65,10,3811.18
ITEM00324,TXN00105,PROD0007,2,6403.77,0,12807.54
ITEM00325,TXN00105,PROD0057,3,2750.97,5,7840.26
ITEM00326,TXN00105,PROD0112,3,1057.41,5,3013.62
ITEM00327,TXN00105,PROD0191,2,983.27,0,1966.54
ITEM00328,TXN00106,PROD0108,2,2866.04,10,5158.87
ITEM00329,TXN00106,PROD0291,2,4210.63,15,7158.07
ITEM00330,TXN00107,PROD0193,1,1531.45,15,1301.73
ITEM00331,TXN00108,PROD0037,3,4969.52,5,14163.13
ITEM00332,TXN00108,PROD0041,3,19648.14,5,55997.2
ITEM00333,TXN00108,PROD0139,2,2092.77,0,4185.54
ITEM00334,TXN00108,PROD0208,1,1172.94,0,1172.94
ITEM00335,TXN00108,PROD0145,2,650.06,0,1300.12
ITEM00336,TXN00109,PROD0452,3,11818.09,0,35454.27
ITEM00337,TXN00109,PROD0493,2,6333.01,0,12666.02
ITEM00338,TXN00109,PROD0447,3,5938.17,15,15142.33
ITEM00339,TXN00109,PROD0150,2,9804.79,5,18629.1
ITEM00340,TXN00110,PROD0302,1,4650.18,15,3952.65
ITEM00341,TXN00110,PROD0077,1,1155.54,0,1155.54
ITEM00342,TXN00111,PROD0470,1,1034.76,10,931.28
ITEM00343,TXN00111,PROD0206,3,1524.15,5,4343.83
ITEM00344,TXN00111,PROD0394,2,19857.17,15,33757.19
ITEM00345,TXN00111,PROD0389,1,18478.05,15,15706.34
ITEM00346,TXN00112,PROD0258,1,9620.74,15,8177.63
ITEM00347,TXN00112,PROD0133,3,3146.15,15,8022.68
ITEM00348,TXN00112,PROD0335,2,4383.16,5,8328.0
ITEM00349,TXN00112,PROD0350,1,1648.29,0,1648.29
ITEM00350,TXN00113,PROD0296,2,3121.77,5,5931.36
ITEM00351,TXN00114,PROD0396,1,33330.14,15,28330.62
ITEM00352,TXN00114,PROD0057,1,2750.97,10,2475.87
ITEM00353,TXN00115,PROD0328,2,379.57,5,721.18
ITEM00354,TXN00115,PROD0437,1,2385.2,5,2265.94
ITEM00355,TXN00116,PROD0383,2,491.87,5,934.55
ITEM00356,TXN00116,PROD0326,1,502.38,0,502.38
ITEM00357,TXN00116,PROD0308,2,4784.05,5,9089.69
ITEM00358,TXN00116,PROD0111,2,590.12,10,1062.22
ITEM00359,TXN00117,PROD0377,2,1223.59,15,2080.1
ITEM00360,TXN00117,PROD0475,3,2623.12,15,6688.96
ITEM00361,TXN00117,PROD0236,1,1559.0,0,1559.0
ITEM00362,TXN00117,PROD0286,1,1423.75,15,1210.19
ITEM00363,TXN00118,PROD0283,3,538.14,5,1533.7
ITEM00364,TXN00118,PROD0349,1,4108.18,15,3491.95
ITEM00365,TXN00119,PROD0322,3,871.07,10,2351.89
ITEM00366,TXN00119,PROD0248,2,32677.8,10,58820.04
ITEM00367,TXN00119,PROD0030,2,3244.32,0,6488.64
ITEM00368,TXN00120,PROD0200,1,1979.75,5,1880.76
ITEM00369,TXN00120,PROD0418,3,3243.99,15,8272.17
ITEM00370,TXN00120,PROD0256,3,1554.13,10,4196.15
ITEM00371,TXN00120,PROD0249,3,2568.25,15,6549.04
ITEM00372,TXN00121,PROD0492,1,28364.79,10,25528.31
ITEM00373,TXN00121,PROD0061,2,5100.05,15,8670.09
ITEM00374,TXN00121,PROD0309,2,4662.26,15,7925.84
ITEM00375,TXN00121,PROD0324,2,5354.42,0,10708.84
ITEM00376,TXN00121,PROD0465,3,6937.72,15,17691.19
ITEM00377,TXN00122,PROD0215,1,5220.99,0,5220.99
ITEM00378,TXN00122,PROD0171,3,428.41,15,1092.45
ITEM00379,TXN00122,PROD0040,3,325.18,15,829.21
ITEM00380,TXN00122,PROD0281,2,1621.7,5,3081.23
ITEM00381,TXN00122,PROD0153,2,1084.8,0,2169.6
ITEM00382,TXN00123,PROD0066,2,3136.76,15,5332.49
ITEM00383,TXN00123,PROD0253,3,4219.27,10,11392.03
ITEM00384,TXN00123,PROD0204,3,3080.28,0,9240.84
ITEM00385,TXN00123,PROD0188,3,49942.77,5,142336.89
ITEM00386,TXN00124,PROD0020,1,3766.72,10,3390.05
ITEM00387,TXN00124,PROD0019,2,1536.96,5,2920.22
ITEM00388,TXN00124,PROD0017,1,549.04,0,549.04
ITEM00389,TXN00124,PROD0486,3,26492.75,15,67556.51
ITEM00390,TXN00125,PROD0087,3,353.85,10,955.4
ITEM00391,TXN00125,PROD0134,2,3800.73,5,7221.39
ITEM00392,TXN00126,PROD0081,3,2330.55,10,6292.49
ITEM00393,TXN00126,PROD0481,3,2686.67,0,8060.01
ITEM00394,TXN00126,PROD0367,3,1589.13,5,4529.02
ITEM00395,TXN00126,PROD0284,2,1462.7,0,2925.4
ITEM00396,TXN00126,PROD0140,3,1017.61,10,2747.55
ITEM00397,TXN00127,PROD0210,2,1617.47,5,3073.19
ITEM00398,TXN00127,PROD0485,1,9899.66,15,8414.71
ITEM00399,TXN00127,PROD0359,3,4353.43,5,12407.28
ITEM00400,TXN00127,PROD0411,2,36478.3,0,72956.6
ITEM00401,TXN00128,PROD0117,1,41251.35,0,41251.35
ITEM00402,TXN00129,PROD0026,3,4538.09,5,12933.56
ITEM00403,TXN00129,PROD0224,2,3783.45,10,6810.21
ITEM00404,TXN00129,PROD0114,1,4049.4,0,4049.4
ITEM00405,TXN00130,PROD0169,3,6943.85,10,18748.4
ITEM00406,TXN00130,PROD0041,1,19648.14,10,17683.33
ITEM00407,TXN00131,PROD0327,2,3482.29,10,6268.12
ITEM00408,TXN00131,PROD0124,1,3008.34,15,2557.09
ITEM00409,TXN00131,PROD0300,2,6279.6,15,10675.32
ITEM00410,TXN00131,PROD0348,2,5149.41,15,8754.0
ITEM00411,TXN00131,PROD0109,3,536.53,15,1368.15
ITEM00412,TXN00132,PROD0404,1,25494.14,5,24219.43
ITEM00413,TXN00133,PROD0064,3,47792.6,10,129040.02
ITEM00414,TXN00134,PROD0013,1,6274.21,5,5960.5
ITEM00415,TXN00134,PROD0183,3,1814.45,5,5171.18
ITEM00416,TXN00135,PROD0404,2,25494.14,10,45889.45
ITEM00417,TXN00135,PROD0423,1,15003.56,0,15003.56
ITEM00418,TXN00135,PROD0084,3,2721.45,15,6939.7
ITEM00419,TXN00135,PROD0251,2,32976.06,5,62654.51
ITEM00420,TXN00136,PROD0485,1,9899.66,0,9899.66
ITEM00421,TXN00136,PROD0303,1,7311.41,0,7311.41
ITEM00422,TXN00136,PROD0207,1,1674.67,10,1507.2
ITEM00423,TXN00136,PROD0060,3,1514.33,15,3861.54
ITEM00424,TXN00136,PROD0028,1,5243.27,10,4718.94
ITEM00425,TXN00137,PROD0027,2,803.15,15,1365.36
